vertex_id,y,z
293,272.547,1.802
294,277.577,1.925
295,282.608,2.048
296,287.638,2.171
297,-258.486,392.597
298,-253.476,392.597
299,-248.465,392.597
300,-243.455,392.597
301,-238.444,392.597
302,-233.434,392.597
303,-228.423,392.597
304,-223.413,392.597
305,-218.402,392.597
306,-213.392,392.597
307,-208.381,392.597
308,-203.371,392.597
309,-198.360,392.597
310,-193.350,392.597
311,-188.339,392.597
312,-183.329,392.597
313,-178.318,392.597
314,-173.308,392.597
315,-168.297,392.597
316,-163.287,392.597
317,-158.276,392.597
318,-153.266,392.597
319,-148.255,392.597
320,-143.245,392.597
321,-138.234,392.597
322,-133.224,392.597
323,-128.213,392.597
324,-123.203,392.597
325,-118.192,392.597
326,-113.182,392.597
327,-108.171,392.597
328,-103.161,392.597
329,-98.150,392.597
330,-93.140,392.597
331,-88.129,392.597
332,-83.119,392.597
333,-78.108,392.597
334,-73.098,392.597
335,-68.087,392.597
336,-63.077,392.597
337,-58.066,392.597
338,-53.056,392.597
339,-48.045,392.597
340,-43.035,392.597
341,-38.024,392.597
342,-33.014,392.597
343,-28.003,392.597
344,-22.993,392.597
345,-17.982,392.597
346,-12.972,392.597
347,-7.961,392.597
348,-2.951,392.597
349,2.060,392.597
350,7.070,392.597
351,12.081,392.597
352,17.091,392.597
353,22.102,392.597
354,27.112,392.597
355,32.123,392.597
356,37.133,392.597
357,42.144,392.597
358,47.154,392.597
359,52.165,392.597
360,57.175,392.597
361,62.186,392.597
362,67.196,392.597
363,72.207,392.597
364,77.217,392.597
365,82.228,392.597
366,87.238,392.597
367,92.249,392.597
368,97.259,392.597
369,102.270,392.597
370,107.280,392.597
371,112.291,392.597
372,117.301,392.597
373,122.312,392.597
374,127.322,392.597
375,132.333,392.597
376,137.343,392.597
377,142.354,392.597
378,147.364,392.597
379,152.375,392.597
380,157.385,392.597
381,162.396,392.597
382,167.406,392.597
383,172.417,392.597
384,177.427,392.597
385,182.438,392.597
386,187.448,392.597
387,192.459,392.597
388,197.469,392.597
389,202.480,392.597
390,207.490,392.597
391,212.501,392.597
392,217.511,392.597
393,222.522,392.597
394,227.532,392.597
395,232.543,392.597
396,237.553,392.597
397,242.564,392.597
398,247.574,392.597
399,252.585,392.597
400,257.595,392.597
401,262.606,392.597
402,267.616,392.597
403,272.627,392.597
404,277.637,392.597
405,282.648,392.597
406,287.658,392.597
407,-258.465,4.104
408,-258.466,9.149
409,-258.466,14.194
410,-258.466,19.240
411,-258.466,24.285
412,-258.467,29.330
413,-258.467,34.376
414,-258.467,39.421
415,-258.468,44.467
416,-258.468,49.512
417,-258.468,54.557
418,-258.468,59.603
419,-258.469,64.648
420,-258.469,69.693
421,-258.469,74.739
422,-258.469,79.784
423,-258.470,84.829
424,-258.470,89.875
425,-258.470,94.920
426,-258.471,99.966
427,-258.471,105.011
428,-258.471,110.056
429,-258.471,115.102
430,-258.472,120.147
431,-258.472,125.192
432,-258.472,130.238
433,-258.472,135.283
434,-258.473,140.329
435,-258.473,145.374
436,-258.473,150.419
437,-258.474,155.465
438,-258.474,160.510
439,-258.474,165.555
440,-258.474,170.601
441,-258.475,175.646
442,-258.475,180.692
443,-258.475,185.737
444,-258.475,190.782
445,-258.476,195.828
446,-258.476,200.873
447,-258.476,205.918
448,-258.477,210.964
449,-258.477,216.009
450,-258.477,221.055
451,-258.477,226.100
452,-258.478,231.145
453,-258.478,236.191
454,-258.478,241.236
455,-258.478,246.281
456,-258.479,251.327
457,-258.479,256.372
458,-258.479,261.417
459,-258.480,266.463
460,-258.480,271.508
461,-258.480,276.554
462,-258.480,281.599
463,-258.481,286.644
464,-258.481,291.690
465,-258.481,296.735
466,-258.481,301.780
467,-258.482,306.826
468,-258.482,311.871
469,-258.482,316.917
470,-258.483,321.962
471,-258.483,327.007
472,-258.483,332.053
473,-258.483,337.098
474,-258.484,342.143
475,-258.484,347.189
476,-258.484,352.234
477,-258.485,357.280
478,-258.485,362.325
479,-258.485,367.370
480,-258.485,372.416
481,-258.486,377.461
482,-258.486,382.506
483,-258.486,387.552
484,-253.434,4.141
485,-253.434,9.186
486,-253.435,14.231
487,-253.435,19.276
488,-253.436,24.321
489,-253.437,29.365
490,-253.437,34.410
491,-253.438,39.455
492,-253.438,44.500
493,-253.439,49.545
494,-253.439,54.590
495,-253.440,59.635
496,-253.440,64.680
497,-253.441,69.724
498,-253.441,74.769
499,-253.442,79.814
500,-253.443,84.859
501,-253.443,89.904
502,-253.444,94.949
503,-253.444,99.994
504,-253.445,105.039
505,-253.445,110.084
506,-253.446,115.128
507,-253.446,120.173
508,-253.447,125.218
509,-253.447,130.263
510,-253.448,135.308
511,-253.449,140.353
512,-253.449,145.398
513,-253.450,150.443
514,-253.450,155.488
515,-253.451,160.532
516,-253.451,165.577
517,-253.452,170.622
518,-253.452,175.667
519,-253.453,180.712
520,-253.453,185.757
521,-253.454,190.802
522,-253.455,195.847
523,-253.455,200.891
524,-253.456,205.936
525,-253.456,210.981
526,-253.457,216.026
527,-253.457,221.071
528,-253.458,226.116
529,-253.458,231.161
530,-253.459,236.206
531,-253.460,241.251
532,-253.460,246.295
533,-253.461,251.340
534,-253.461,256.385
535,-253.462,261.430
536,-253.462,266.475
537,-253.463,271.520
538,-253.463,276.565
539,-253.464,281.610
540,-253.464,286.655
541,-253.465,291.699
542,-253.466,296.744
